DATE,TMAX,TMIN,PRCP,SNWD,SNOW
2019-02-05,156.0,72.0,0.0,0.0,0.0
2019-02-06,200.0,56.0,25.0,0.0,0.0
2019-02-07,189.0,111.0,790.0,0.0,0.0
2019-02-08,233.0,22.0,89.0,0.0,0.0
2019-02-09,67.0,-39.0,0.0,0.0,0.0
2019-02-10,72.0,-22.0,0.0,0.0,0.0
2019-02-11,44.0,22.0,163.0,0.0,0.0
2019-02-12,100.0,39.0,74.0,0.0,0.0
2019-02-13,128.0,-28.0,366.0,0.0,0.0
2019-02-14,100.0,-44.0,0.0,0.0,0.0
2019-02-15,133.0,6.0,0.0,0.0,0.0
2019-02-16,150.0,28.0,152.0,0.0,0.0
2019-02-17,78.0,28.0,117.0,0.0,0.0
2019-02-18,100.0,22.0,274.0,0.0,0.0
2019-02-19,89.0,-28.0,0.0,0.0,0.0
2019-02-20,61.0,-17.0,305.0,0.0,0.0
2019-02-21,106.0,56.0,229.0,0.0,0.0
2019-02-22,106.0,67.0,152.0,0.0,0.0
2019-02-23,106.0,72.0,589.0,0.0,0.0
2019-02-24,128.0,72.0,584.0,0.0,0.0
2019-02-25,150.0,-28.0,25.0,0.0,0.0
2019-02-26,150.0,-33.0,0.0,0.0,0.0
2019-02-27,167.0,11.0,0.0,0.0,0.0
2019-02-28,211.0,11.0,0.0,0.0,0.0
2019-03-01,150.0,89.0,51.0,0.0,0.0
2019-03-02,150.0,50.0,254.0,0.0,0.0
2019-03-03,106.0,39.0,33.0,0.0,0.0
2019-03-04,72.0,-22.0,178.0,0.0,0.0
2019-03-05,6.0,-72.0,0.0,0.0,0.0
2019-03-06,28.0,-78.0,0.0,0.0,0.0
2019-03-07,39.0,-61.0,0.0,0.0,0.0
2019-03-08,94.0,6.0,51.0,0.0,0.0
2019-03-09,94.0,6.0,109.0,0.0,0.0
2019-03-10,144.0,6.0,279.0,0.0,0.0
2019-03-11,211.0,56.0,25.0,0.0,0.0
2019-03-12,144.0,-17.0,0.0,0.0,0.0
2019-03-13,139.0,-6.0,0.0,0.0,0.0
2019-03-14,200.0,44.0,0.0,0.0,0.0
2019-03-15,217.0,122.0,145.0,0.0,0.0
2019-03-16,217.0,-17.0,0.0,0.0,0.0
2019-03-17,133.0,-44.0,0.0,0.0,0.0
2019-03-18,150.0,-17.0,0.0,0.0,0.0
2019-03-19,106.0,-50.0,0.0,0.0,0.0
2019-03-20,133.0,-39.0,0.0,0.0,0.0
2019-03-21,167.0,-33.0,0.0,0.0,0.0
2019-03-22,122.0,33.0,0.0,0.0,0.0
2019-03-23,172.0,-33.0,0.0,0.0,0.0
2019-03-24,172.0,-22.0,0.0,0.0,0.0
2019-03-25,206.0,-22.0,51.0,0.0,0.0
2019-03-26,144.0,56.0,0.0,0.0,0.0
2019-03-27,150.0,-22.0,0.0,0.0,0.0
2019-03-28,178.0,-6.0,0.0,0.0,0.0
2019-03-29,206.0,-6.0,0.0,0.0,0.0
2019-03-30,261.0,33.0,0.0,0.0,0.0
2019-03-31,239.0,28.0,137.0,0.0,0.0
2019-04-01,106.0,-39.0,0.0,0.0,0.0
2019-04-02,128.0,-39.0,51.0,0.0,0.0
2019-04-03,122.0,-22.0,0.0,0.0,0.0
2019-04-04,211.0,-22.0,0.0,0.0,0.0
2019-04-05,228.0,67.0,112.0,0.0,0.0
2019-04-06,178.0,100.0,3.0,0.0,0.0
2019-04-07,239.0,94.0,5.0,0.0,0.0
2019-04-08,250.0,106.0,8.0,0.0,0.0
2019-04-09,250.0,106.0,244.0,0.0,0.0
2019-04-10,244.0,44.0,0.0,0.0,0.0
2019-04-11,261.0,72.0,0.0,0.0,0.0
2019-04-12,283.0,133.0,0.0,0.0,0.0
2019-04-13,256.0,122.0,23.0,0.0,0.0
2019-04-14,256.0,128.0,18.0,0.0,0.0
2019-04-15,272.0,50.0,53.0,0.0,0.0
2019-04-16,156.0,11.0,0.0,0.0,0.0
2019-04-17,250.0,61.0,0.0,0.0,0.0
2019-04-18,256.0,89.0,0.0,0.0,0.0
2019-04-19,267.0,150.0,170.0,0.0,0.0
2019-04-20,194.0,56.0,94.0,0.0,0.0
2019-04-21,83.0,61.0,203.0,0.0,0.0
2019-04-22,200.0,33.0,0.0,0.0,0.0
2019-04-23,267.0,61.0,0.0,0.0,0.0
2019-04-24,278.0,106.0,0.0,0.0,0.0
2019-04-25,278.0,106.0,0.0,0.0,0.0
2019-04-26,228.0,144.0,64.0,0.0,0.0
2019-04-27,222.0,22.0,0.0,0.0,0.0
2019-04-28,211.0,94.0,0.0,0.0,0.0
2019-04-29,261.0,67.0,0.0,0.0,0.0
2019-04-30,272.0,111.0,0.0,0.0,0.0
2019-05-01,294.0,128.0,0.0,0.0,0.0
2019-05-02,278.0,139.0,3.0,0.0,0.0
2019-05-03,289.0,122.0,0.0,0.0,0.0
2019-05-04,267.0,139.0,61.0,0.0,0.0
2019-05-05,239.0,167.0,272.0,0.0,0.0
2019-05-06,211.0,100.0,3.0,0.0,0.0
2019-05-07,250.0,78.0,0.0,0.0,0.0
2019-05-08,272.0,94.0,152.0,0.0,0.0
2019-05-09,294.0,139.0,0.0,0.0,0.0
2019-05-10,294.0,133.0,0.0,0.0,0.0
2019-05-11,278.0,172.0,279.0,0.0,0.0
2019-05-12,228.0,172.0,236.0,0.0,0.0
2019-05-13,228.0,106.0,36.0,0.0,0.0
2019-05-14,183.0,50.0,0.0,0.0,0.0
2019-05-15,200.0,44.0,0.0,0.0,0.0
2019-05-16,200.0,61.0,0.0,0.0,0.0
2019-05-17,261.0,128.0,13.0,0.0,0.0
2019-05-18,294.0,128.0,5.0,0.0,0.0
2019-05-19,311.0,139.0,5.0,0.0,0.0
2019-05-20,300.0,167.0,0.0,0.0,0.0
2019-05-21,300.0,94.0,0.0,0.0,0.0
2019-05-22,306.0,133.0,0.0,0.0,0.0
2019-05-23,317.0,133.0,0.0,0.0,0.0
2019-05-24,306.0,150.0,0.0,0.0,0.0
2019-05-25,317.0,161.0,0.0,0.0,0.0
2019-05-26,317.0,156.0,0.0,0.0,0.0
2019-05-27,317.0,189.0,0.0,0.0,0.0
2019-05-28,317.0,156.0,10.0,0.0,0.0
2019-05-29,311.0,167.0,8.0,0.0,0.0
2019-05-30,322.0,161.0,0.0,0.0,0.0
2019-05-31,300.0,161.0,0.0,0.0,0.0
2019-06-01,300.0,106.0,5.0,0.0,0.0
2019-06-02,289.0,128.0,0.0,0.0,0.0
2019-06-03,300.0,128.0,0.0,0.0,0.0
2019-06-04,267.0,100.0,0.0,0.0,0.0
2019-06-05,300.0,156.0,0.0,0.0,0.0
2019-06-06,261.0,189.0,274.0,0.0,0.0
2019-06-07,256.0,194.0,51.0,0.0,0.0
2019-06-08,261.0,178.0,442.0,0.0,0.0
2019-06-09,256.0,194.0,3.0,0.0,0.0
2019-06-10,283.0,189.0,66.0,0.0,0.0
2019-06-11,283.0,106.0,28.0,0.0,0.0
2019-06-12,233.0,133.0,0.0,0.0,0.0
2019-06-13,200.0,144.0,137.0,0.0,0.0
2019-06-14,233.0,61.0,0.0,0.0,0.0
2019-06-15,250.0,94.0,0.0,0.0,0.0
2019-06-16,278.0,156.0,0.0,0.0,0.0
2019-06-17,306.0,183.0,0.0,0.0,0.0
2019-06-18,294.0,183.0,30.0,0.0,0.0
2019-06-19,256.0,194.0,76.0,0.0,0.0
2019-06-20,278.0,172.0,561.0,0.0,0.0
2019-06-21,256.0,133.0,51.0,0.0,0.0
2019-06-22,283.0,172.0,122.0,0.0,0.0
2019-06-23,250.0,172.0,135.0,0.0,0.0
2019-06-24,289.0,178.0,0.0,0.0,0.0
2019-06-25,289.0,189.0,147.0,0.0,0.0
2019-06-26,289.0,139.0,0.0,0.0,0.0
2019-06-27,306.0,161.0,0.0,0.0,0.0
2019-06-28,322.0,178.0,0.0,0.0,0.0
2019-06-29,317.0,167.0,18.0,0.0,0.0
2019-06-30,317.0,167.0,0.0,0.0,0.0
2019-07-01,317.0,178.0,0.0,0.0,0.0
2019-07-02,322.0,178.0,0.0,0.0,0.0
2019-07-03,317.0,178.0,0.0,0.0,0.0
2019-07-04,300.0,178.0,0.0,0.0,0.0
2019-07-05,311.0,178.0,0.0,0.0,0.0
2019-07-06,328.0,183.0,0.0,0.0,0.0
2019-07-07,322.0,178.0,0.0,0.0,0.0
2019-07-08,317.0,189.0,15.0,0.0,0.0
2019-07-09,333.0,194.0,0.0,0.0,0.0
2019-07-10,322.0,211.0,0.0,0.0,0.0
2019-07-11,261.0,206.0,325.0,0.0,0.0
2019-07-12,311.0,200.0,3.0,0.0,0.0
2019-07-13,306.0,206.0,0.0,0.0,0.0
2019-07-14,294.0,194.0,0.0,0.0,0.0
2019-07-15,306.0,194.0,0.0,0.0,0.0
2019-07-16,322.0,200.0,25.0,0.0,0.0
2019-07-17,272.0,211.0,53.0,0.0,0.0
2019-07-18,317.0,194.0,0.0,0.0,0.0
2019-07-19,328.0,206.0,0.0,0.0,0.0
2019-07-20,322.0,200.0,5.0,0.0,0.0
2019-07-21,328.0,200.0,145.0,0.0,0.0
2019-07-22,278.0,178.0,676.0,0.0,0.0
2019-07-23,256.0,111.0,48.0,0.0,0.0
2019-07-24,267.0,111.0,0.0,0.0,0.0
2019-07-25,278.0,139.0,0.0,0.0,0.0
2019-07-26,300.0,144.0,0.0,0.0,0.0
2019-07-27,306.0,150.0,0.0,0.0,0.0
2019-07-28,311.0,161.0,0.0,0.0,0.0
2019-07-29,311.0,183.0,0.0,0.0,0.0
2019-07-30,311.0,178.0,0.0,0.0,0.0
2019-07-31,300.0,178.0,0.0,0.0,0.0
2019-08-01,300.0,183.0,0.0,0.0,0.0
2019-08-02,311.0,172.0,127.0,0.0,0.0
2019-08-03,306.0,172.0,13.0,0.0,0.0
2019-08-04,289.0,189.0,5.0,0.0,0.0
2019-08-05,306.0,156.0,0.0,0.0,0.0
2019-08-06,300.0,183.0,0.0,0.0,0.0
2019-08-07,294.0,161.0,0.0,0.0,0.0
2019-08-08,294.0,156.0,0.0,0.0,0.0
2019-08-09,311.0,183.0,0.0,0.0,0.0
2019-08-10,317.0,161.0,0.0,0.0,0.0
2019-08-11,311.0,156.0,0.0,0.0,0.0
2019-08-12,311.0,194.0,0.0,0.0,0.0
2019-08-13,306.0,200.0,119.0,0.0,0.0
2019-08-14,311.0,172.0,0.0,0.0,0.0
2019-08-15,317.0,161.0,0.0,0.0,0.0
2019-08-16,311.0,156.0,0.0,0.0,0.0
2019-08-17,322.0,167.0,0.0,0.0,0.0
2019-08-18,339.0,167.0,0.0,0.0,0.0
2019-08-19,339.0,178.0,0.0,0.0,0.0
2019-08-20,328.0,194.0,51.0,0.0,0.0
2019-08-21,328.0,194.0,0.0,0.0,0.0
2019-08-22,294.0,206.0,302.0,0.0,0.0
2019-08-23,300.0,200.0,56.0,0.0,0.0
2019-08-24,272.0,178.0,0.0,0.0,0.0
2019-08-25,272.0,178.0,0.0,0.0,0.0
2019-08-26,239.0,194.0,102.0,0.0,0.0
2019-08-27,272.0,194.0,163.0,0.0,0.0
2019-08-28,289.0,111.0,0.0,0.0,0.0
2019-08-29,272.0,111.0,0.0,0.0,0.0
2019-08-30,272.0,111.0,0.0,0.0,0.0
2019-08-31,300.0,133.0,0.0,0.0,0.0
2019-09-01,311.0,150.0,0.0,0.0,0.0
2019-09-02,311.0,106.0,0.0,0.0,0.0
2019-09-03,317.0,156.0,0.0,0.0,0.0
2019-09-04,322.0,139.0,0.0,0.0,0.0
2019-09-05,306.0,122.0,0.0,0.0,0.0
2019-09-06,294.0,156.0,0.0,0.0,0.0
2019-09-07,289.0,94.0,0.0,0.0,0.0
2019-09-08,300.0,139.0,0.0,0.0,0.0
2019-09-09,311.0,144.0,0.0,0.0,0.0
2019-09-10,339.0,172.0,0.0,0.0,0.0
2019-09-11,333.0,172.0,0.0,0.0,0.0
2019-09-12,333.0,178.0,0.0,0.0,0.0
2019-09-13,350.0,194.0,0.0,0.0,0.0
2019-09-14,311.0,139.0,0.0,0.0,0.0
2019-09-15,328.0,122.0,0.0,0.0,0.0
2019-09-16,328.0,178.0,0.0,0.0,0.0
2019-09-17,328.0,156.0,0.0,0.0,0.0
2019-09-18,322.0,183.0,0.0,0.0,0.0
2019-09-19,272.0,133.0,0.0,0.0,0.0
2019-09-20,289.0,133.0,0.0,0.0,0.0
2019-09-21,306.0,133.0,0.0,0.0,0.0
2019-09-22,300.0,117.0,51.0,0.0,0.0
2019-09-23,272.0,144.0,0.0,0.0,0.0
2019-09-24,283.0,89.0,0.0,0.0,0.0
2019-09-25,306.0,150.0,0.0,0.0,0.0
2019-09-26,306.0,167.0,30.0,0.0,0.0
2019-09-27,311.0,167.0,0.0,0.0,0.0
2019-09-28,322.0,172.0,0.0,0.0,0.0
2019-09-29,339.0,128.0,0.0,0.0,0.0
2019-09-30,328.0,178.0,0.0,0.0,0.0
2019-10-01,339.0,161.0,0.0,0.0,0.0
2019-10-02,339.0,144.0,0.0,0.0,0.0
2019-10-03,344.0,156.0,0.0,0.0,0.0
2019-10-04,306.0,117.0,0.0,0.0,0.0
2019-10-05,306.0,117.0,13.0,0.0,0.0
2019-10-06,222.0,161.0,20.0,0.0,0.0
2019-10-07,200.0,133.0,38.0,0.0,0.0
2019-10-08,239.0,100.0,0.0,0.0,0.0
2019-10-09,244.0,100.0,0.0,0.0,0.0
2019-10-10,267.0,89.0,0.0,0.0,0.0
2019-10-11,261.0,128.0,0.0,0.0,0.0
2019-10-12,156.0,17.0,0.0,0.0,0.0
2019-10-13,200.0,6.0,0.0,0.0,0.0
2019-10-14,233.0,11.0,0.0,0.0,0.0
2019-10-15,233.0,139.0,239.0,0.0,0.0
2019-10-16,233.0,-6.0,20.0,0.0,0.0
2019-10-17,161.0,0.0,0.0,0.0,0.0
2019-10-18,189.0,0.0,0.0,0.0,0.0
2019-10-19,156.0,0.0,91.0,0.0,0.0
2019-10-20,172.0,89.0,3.0,0.0,0.0
2019-10-21,228.0,122.0,193.0,0.0,0.0
2019-10-22,200.0,6.0,0.0,0.0,0.0
2019-10-23,200.0,-6.0,0.0,0.0,0.0
2019-10-24,200.0,11.0,0.0,0.0,0.0
2019-10-25,200.0,0.0,318.0,0.0,0.0
2019-10-26,217.0,72.0,132.0,0.0,0.0
2019-10-27,183.0,56.0,3.0,0.0,0.0
2019-10-28,239.0,61.0,0.0,0.0,0.0
2019-10-29,233.0,67.0,0.0,0.0,0.0
2019-10-30,189.0,72.0,396.0,0.0,0.0
2019-10-31,222.0,6.0,142.0,0.0,0.0
2019-11-01,222.0,6.0,0.0,0.0,0.0
2019-11-02,89.0,-33.0,0.0,0.0,0.0
2019-11-03,133.0,-33.0,0.0,0.0,0.0
2019-11-04,133.0,-33.0,0.0,0.0,0.0
2019-11-05,133.0,-33.0,0.0,0.0,0.0
2019-11-06,178.0,-11.0,5.0,0.0,0.0
2019-11-07,194.0,17.0,160.0,0.0,0.0
2019-11-08,133.0,-11.0,0.0,0.0,0.0
2019-11-09,72.0,-56.0,0.0,0.0,0.0
2019-11-10,111.0,-33.0,0.0,0.0,0.0
2019-11-11,167.0,-22.0,79.0,0.0,0.0
2019-11-12,167.0,-17.0,64.0,76.0,64.0
2019-11-13,-11.0,-106.0,3.0,0.0,0.0
2019-11-14,39.0,-78.0,0.0,0.0,0.0
2019-11-15,83.0,-33.0,0.0,0.0,0.0
2019-11-16,133.0,-61.0,0.0,0.0,0.0
2019-11-17,139.0,-50.0,3.0,0.0,0.0
2019-11-18,156.0,-11.0,0.0,0.0,0.0
2019-11-19,150.0,11.0,5.0,0.0,0.0
2019-11-20,111.0,6.0,0.0,0.0,0.0
2019-11-21,133.0,-6.0,41.0,0.0,0.0
2019-11-22,161.0,-6.0,91.0,0.0,0.0
2019-11-23,122.0,89.0,274.0,0.0,0.0
2019-11-24,156.0,33.0,0.0,0.0,0.0
2019-11-25,72.0,-39.0,0.0,0.0,0.0
2019-11-26,117.0,-33.0,163.0,0.0,0.0
2019-11-27,117.0,-33.0,3.0,0.0,0.0
2019-11-28,183.0,-44.0,0.0,0.0,0.0
2019-11-29,100.0,-22.0,43.0,0.0,0.0
2019-11-30,122.0,33.0,533.0,0.0,0.0
2019-12-01,139.0,83.0,10.0,0.0,0.0
2019-12-02,156.0,-22.0,5.0,0.0,0.0
2019-12-03,156.0,-50.0,0.0,0.0,0.0
2019-12-04,33.0,-50.0,0.0,0.0,0.0
2019-12-05,117.0,-67.0,0.0,0.0,0.0
2019-12-06,139.0,-44.0,8.0,0.0,0.0
2019-12-07,94.0,-39.0,0.0,0.0,0.0
2019-12-08,139.0,-67.0,41.0,0.0,0.0
2019-12-09,139.0,-72.0,46.0,0.0,0.0
2019-12-10,150.0,0.0,109.0,76.0,76.0
2019-12-11,111.0,-61.0,0.0,0.0,0.0
2019-12-12,33.0,-61.0,15.0,0.0,0.0
2019-12-13,89.0,-56.0,140.0,0.0,0.0
2019-12-14,78.0,33.0,5.0,0.0,0.0
2019-12-15,78.0,-11.0,0.0,0.0,0.0
2019-12-16,117.0,0.0,114.0,0.0,0.0
2019-12-17,206.0,106.0,0.0,0.0,0.0
2019-12-18,106.0,-61.0,0.0,0.0,0.0
2019-12-19,106.0,-72.0,0.0,0.0,0.0
2019-12-20,67.0,-72.0,0.0,0.0,0.0
2019-12-21,100.0,-61.0,0.0,0.0,0.0
2019-12-22,117.0,-17.0,84.0,0.0,0.0
2019-12-23,89.0,11.0,3.0,0.0,0.0
2019-12-24,150.0,-6.0,0.0,0.0,0.0
2019-12-25,183.0,-17.0,0.0,0.0,0.0
2019-12-26,167.0,-11.0,0.0,0.0,0.0
2019-12-27,183.0,-11.0,0.0,0.0,0.0
2019-12-28,156.0,28.0,0.0,0.0,0.0
2019-12-29,189.0,78.0,46.0,0.0,0.0
2019-12-30,222.0,61.0,0.0,0.0,0.0
2019-12-31,133.0,28.0,0.0,0.0,0.0
2020-01-01,78.0,-33.0,0.0,0.0,0.0
2020-01-02,89.0,-28.0,622.0,0.0,0.0
2020-01-03,83.0,44.0,109.0,0.0,0.0
2020-01-04,122.0,78.0,15.0,0.0,0.0
2020-01-05,100.0,6.0,0.0,0.0,0.0
2020-01-06,78.0,-44.0,104.0,0.0,0.0
2020-01-07,117.0,-39.0,0.0,0.0,0.0
2020-01-08,100.0,-56.0,0.0,0.0,0.0
2020-01-09,122.0,-50.0,0.0,0.0,0.0
2020-01-10,139.0,-44.0,0.0,0.0,0.0
2020-01-11,167.0,56.0,229.0,0.0,0.0
2020-01-12,228.0,28.0,3.0,0.0,0.0
2020-01-13,156.0,17.0,147.0,0.0,0.0
2020-01-14,156.0,17.0,13.0,0.0,0.0
2020-01-15,156.0,128.0,41.0,0.0,0.0
2020-01-16,167.0,78.0,0.0,0.0,0.0
2020-01-17,122.0,-28.0,0.0,0.0,0.0
2020-01-18,56.0,6.0,102.0,0.0,0.0
2020-01-19,78.0,-11.0,102.0,0.0,0.0
2020-01-20,33.0,-61.0,0.0,0.0,0.0
2020-01-21,-33.0,-61.0,0.0,0.0,0.0
2020-01-22,6.0,-106.0,0.0,0.0,0.0
2020-01-23,39.0,-89.0,193.0,0.0,0.0
2020-01-24,83.0,-17.0,76.0,0.0,0.0
2020-01-25,89.0,17.0,25.0,0.0,0.0
2020-01-26,44.0,-17.0,30.0,0.0,0.0
2020-01-27,44.0,11.0,30.0,0.0,0.0
2020-01-28,89.0,-44.0,3.0,0.0,0.0
2020-01-29,100.0,-39.0,8.0,0.0,0.0
2020-01-30,89.0,17.0,0.0,0.0,0.0
2020-01-31,117.0,28.0,0.0,0.0,0.0
2020-02-01,100.0,-11.0,0.0,0.0,0.0
2020-02-02,78.0,-33.0,8.0,0.0,0.0
2020-02-03,161.0,-11.0,20.0,0.0,0.0
2020-02-04,194.0,33.0,142.0,0.0,0.0
2020-02-05,150.0,106.0,1163.0,0.0,0.0
2020-02-06,144.0,122.0,175.0,0.0,0.0
2020-02-07,150.0,0.0,0.0,0.0,0.0
2020-02-08,11.0,-50.0,3.0,0.0,0.0
2020-02-09,28.0,-33.0,10.0,0.0,0.0
2020-02-10,106.0,-6.0,338.0,0.0,0.0
2020-02-11,94.0,56.0,25.0,0.0,0.0
2020-02-12,150.0,50.0,292.0,0.0,0.0
2020-02-13,139.0,56.0,20.0,0.0,0.0
2020-02-14,133.0,-33.0,0.0,0.0,0.0
2020-02-15,33.0,-83.0,0.0,0.0,0.0
2020-02-16,89.0,-83.0,0.0,0.0,0.0
2020-02-17,122.0,-17.0,15.0,0.0,0.0
2020-02-18,172.0,6.0,127.0,0.0,0.0
2020-02-19,122.0,44.0,13.0,0.0,0.0
2020-02-20,106.0,11.0,71.0,0.0,0.0
2020-02-21,22.0,-50.0,25.0,0.0,0.0
2020-02-22,50.0,-83.0,0.0,0.0,0.0
2020-02-23,117.0,-56.0,20.0,0.0,0.0
2020-02-24,122.0,-56.0,20.0,0.0,0.0
2020-02-25,150.0,44.0,140.0,0.0,0.0
2020-02-26,161.0,39.0,0.0,0.0,0.0
2020-02-27,111.0,-44.0,25.0,0.0,0.0
2020-02-28,61.0,-39.0,0.0,0.0,0.0
2020-02-29,28.0,0.0,13.0,0.0,0.0
2020-03-01,144.0,11.0,0.0,0.0,0.0
2020-03-02,117.0,0.0,43.0,0.0,0.0
2020-03-03,194.0,6.0,218.0,0.0,0.0
2020-03-04,172.0,33.0,23.0,0.0,0.0
2020-03-05,167.0,33.0,0.0,0.0,0.0
2020-03-06,78.0,6.0,0.0,0.0,0.0
2020-03-07,117.0,-44.0,25.0,0.0,0.0
2020-03-08,178.0,-44.0,0.0,0.0,0.0
2020-03-09,194.0,-11.0,0.0,0.0,0.0
2020-03-10,139.0,33.0,13.0,0.0,0.0
2020-03-11,194.0,56.0,48.0,0.0,0.0
2020-03-12,200.0,78.0,5.0,0.0,0.0
2020-03-13,189.0,83.0,58.0,0.0,0.0
2020-03-14,133.0,61.0,0.0,0.0,0.0
2020-03-15,106.0,56.0,48.0,0.0,0.0
2020-03-16,133.0,61.0,25.0,0.0,0.0
2020-03-17,156.0,83.0,71.0,0.0,0.0
2020-03-18,211.0,100.0,28.0,0.0,0.0
2020-03-19,261.0,100.0,43.0,0.0,0.0
2020-03-20,189.0,89.0,3.0,0.0,0.0
2020-03-21,172.0,28.0,272.0,0.0,0.0
2020-03-22,161.0,94.0,5.0,0.0,0.0
2020-03-23,144.0,94.0,203.0,0.0,0.0
2020-03-24,133.0,100.0,18.0,0.0,0.0
2020-03-25,183.0,33.0,345.0,0.0,0.0
2020-03-26,244.0,44.0,0.0,0.0,0.0
2020-03-27,283.0,44.0,0.0,0.0,0.0
2020-03-28,261.0,133.0,0.0,0.0,0.0
2020-03-29,250.0,56.0,74.0,0.0,0.0
2020-03-30,211.0,78.0,0.0,0.0,0.0
2020-03-31,89.0,50.0,168.0,0.0,0.0
2020-04-01,111.0,-11.0,168.0,0.0,0.0
2020-04-02,172.0,0.0,10.0,0.0,0.0
2020-04-03,217.0,22.0,3.0,0.0,0.0
2020-04-04,244.0,50.0,0.0,0.0,0.0
2020-04-05,261.0,72.0,0.0,0.0,0.0
2020-04-06,261.0,89.0,0.0,0.0,0.0
2020-04-07,267.0,128.0,10.0,0.0,0.0
2020-04-08,267.0,117.0,28.0,0.0,0.0
2020-04-09,200.0,33.0,0.0,0.0,0.0
2020-04-10,139.0,-22.0,0.0,0.0,0.0
2020-04-11,206.0,44.0,0.0,0.0,0.0
2020-04-12,206.0,56.0,0.0,0.0,0.0
2020-04-13,178.0,44.0,841.0,0.0,0.0
2020-04-14,144.0,-22.0,5.0,0.0,0.0
2020-04-15,144.0,-17.0,0.0,0.0,0.0
2020-04-16,172.0,-11.0,0.0,0.0,0.0
2020-04-17,228.0,72.0,71.0,0.0,0.0
2020-04-18,133.0,-6.0,3.0,0.0,0.0
2020-04-19,200.0,56.0,264.0,0.0,0.0
2020-04-20,211.0,50.0,5.0,0.0,0.0
2020-04-21,217.0,6.0,0.0,0.0,0.0
2020-04-22,206.0,6.0,71.0,0.0,0.0
2020-04-23,189.0,111.0,94.0,0.0,0.0
2020-04-24,200.0,67.0,15.0,0.0,0.0
2020-04-25,200.0,67.0,15.0,0.0,0.0
2020-04-26,189.0,94.0,86.0,0.0,0.0
2020-04-27,200.0,39.0,30.0,0.0,0.0
2020-04-28,239.0,83.0,0.0,0.0,0.0
2020-04-29,239.0,100.0,140.0,0.0,0.0
2020-04-30,139.0,39.0,3.0,0.0,0.0
2020-05-01,222.0,39.0,3.0,0.0,0.0
2020-05-02,267.0,89.0,0.0,0.0,0.0
2020-05-03,283.0,150.0,0.0,0.0,0.0
2020-05-04,267.0,133.0,3.0,0.0,0.0
2020-05-05,267.0,56.0,5.0,0.0,0.0
2020-05-06,144.0,-11.0,3.0,0.0,0.0
2020-05-07,189.0,39.0,0.0,0.0,0.0
2020-05-08,117.0,-17.0,0.0,0.0,0.0
2020-05-09,156.0,-11.0,71.0,0.0,0.0
2020-05-10,200.0,17.0,0.0,0.0,0.0
2020-05-11,161.0,11.0,13.0,0.0,0.0
2020-05-12,183.0,61.0,0.0,0.0,0.0
